   Long    Lat   Vlsr       Dist sigma_D    Prob     Arm     ExtraInformation
   0.24   0.01   44.4        8.4    0.60    0.44     3kF     G000.2386+0.0090    
   0.26   0.02   41.0        8.4    0.60    0.57     ...     G000.2579+0.0182    
   0.26   0.04   28.4        8.4    0.60    0.34     Per     G000.2649+0.0356    
   0.30   0.04   17.4      14.49    0.28    0.44     Per     G000.2960+0.0438    
   0.31  -0.15   19.7      13.63    0.24    0.31     SgF     G000.3069-0.1547    
   0.31  -0.10   96.2      13.30   11.10    0.76     ...?    G000.3149-0.0989    
   0.48  -0.01   30.3      14.50    0.28    0.37     Per     G000.4766-0.0068    
   0.49   0.02   55.1      10.83    0.24    0.97     3kF     G000.4942+0.0194    
   0.52  -0.11   29.5      14.49    0.31    0.33     Per     G000.5151-0.1057    
   0.54  -0.63   17.1       3.29    0.12    0.54     ScN     G000.5351-0.6329    
   0.68  -0.13  -49.5       5.15    0.23    0.56     3kN     G000.6840-0.1259    
   0.85  -0.03   90.6      12.07    4.66    0.87     ...?    G000.8467-0.0292    
   1.17   0.09   36.3       8.35    0.26    0.57     ...     G001.1738+0.0936    
   1.47   0.04   94.4      11.68    4.69    0.85     ...?    G001.4727+0.0399    
   1.52  -0.11   52.4      10.68    0.24    0.50     3kF     G001.5229-0.1140    
   1.60   0.02 -192.3      12.96    4.48    0.86     ...?    G001.5979+0.0246    
   1.65  -0.06  -35.1      14.90    2.84    0.44     ...     G001.6486-0.0631    
   1.67  -0.14   52.2       8.30    0.23    0.65     ...     G001.6662-0.1394    
   2.94   0.13  145.1      16.00    2.54    0.55     ...?    G002.9402+0.1305    
   3.24   0.63   40.7       3.96    1.57    0.49     ...?    G003.2413+0.6334    
   3.43  -0.57    1.2       2.92    0.15    0.88     ScN     G003.4350-0.5719    
   5.39   0.19   10.6       2.94    0.15    0.79     ScN     G005.3876+0.1874    
   5.85  -0.24   16.7       2.96    0.15    0.73     ScN     G005.8523-0.2397    
   5.89  -0.46    9.2       2.93    0.15    0.89     ScN     G005.8893-0.4565    
   6.21  -0.59   18.4       2.95    0.15    0.93     ScN     G006.2130-0.5937    
   7.34  -0.00   19.8       2.97    0.16    0.37     ScN     G007.3449-0.0001    
   8.05  -0.24   39.2      10.95    0.21    0.69     ScF     G008.0495-0.2433    
   8.11   0.26   18.9       2.98    0.22    0.46     ScN     G008.1102+0.2591    
   8.12   0.26   19.3       2.99    0.23    0.45     ScN     G008.1232+0.2573    
   8.26   0.17   18.4       3.01    0.24    0.31     ScN     G008.2629+0.1680    
   8.54  -0.34   37.1       4.45    0.23    0.67     Nor     G008.5441-0.3421    
   8.73  -0.40   39.1       4.47    0.24    0.73     Nor     G008.7264-0.3959    
   9.95  -0.37   12.8       3.12    0.21    0.44     ScN     G009.9517-0.3649    
  10.07  -0.41   11.4       3.11    0.21    0.40     ScN     G010.0676-0.4076    
  10.11  -0.42   11.5       3.11    0.21    0.40     ScN     G010.1065-0.4168    
  10.14  -0.41   10.6       3.12    0.22    0.37     ScN     G010.1365-0.4108    
  10.18  -0.41   15.3       3.12    0.21    0.57     ScN     G010.1839-0.4050    
  10.19  -0.39   10.6       3.12    0.21    0.37     ScN     G010.1904-0.3884    
  10.20  -0.29   10.8       3.12    0.21    0.27     ScN     G010.1976-0.2876    
  10.20  -0.32   10.6       3.12    0.21    0.28     ScN     G010.1984-0.3164    
  10.21  -0.31   11.3       3.12    0.21    0.26     ScN     G010.2144-0.3051    
  10.22  -0.36   11.8       3.12    0.21    0.39     ScN     G010.2190-0.3632    
  10.25  -0.11   13.3      14.56    0.31    0.32     Per     G010.2488-0.1101    
  10.58  -0.35   -2.6      16.61    0.72    0.59     Out     G010.5785-0.3491    
  10.60  -0.36   -3.3      16.79    0.83    0.58     Out     G010.5959-0.3638    
  10.62  -0.03   64.0      10.70    0.20    1.00     ScF     G010.6174-0.0304    
  10.62  -0.51   -4.1      18.13    1.24    0.49     ...     G010.6233-0.5091    
  10.63  -0.50   -2.9      17.94    1.17    0.46     ...     G010.6333-0.4978    
  10.66   0.08   19.6      14.51    0.31    0.31     Per     G010.6627+0.0811    
  10.68  -0.31   18.9       3.09    0.24    0.58     ScN     G010.6847-0.3071    
  10.98  -0.37   -0.6      16.54    0.65    0.50     Out     G010.9823-0.3677    
  11.10  -0.11   29.8       3.03    0.33    0.46     ScN     G011.0970-0.1093    
  11.38   0.81   26.8       2.82    0.31    0.84     ScN     G011.3811+0.8103    
  12.36   0.42   30.9       2.96    0.29    0.97     ScN     G012.3628+0.4214    
  12.67  -0.10   55.0      10.73    0.23    0.57     ScF     G012.6738-0.0998    
  12.70  -0.15   34.7       3.04    0.32    0.58     ScN     G012.7025-0.1452    
  12.74  -0.10   55.5      10.72    0.23    0.59     ScF     G012.7359-0.1024    
  12.86  -0.21   32.7       3.00    0.31    0.68     ScN     G012.8572-0.2088    
  12.95  -0.25   34.0       3.02    0.31    0.72     ScN     G012.9459-0.2488    
  13.28   0.23   16.9       1.84    0.08    0.42     SgN     G013.2826+0.2272    
  14.02  -0.16   41.2       3.19    0.46    0.45     ScN     G014.0177-0.1603    
  14.18  -0.23   39.7       3.12    0.41    0.58     ScN     G014.1842-0.2280    
  14.23  -0.18   37.5       3.06    0.37    0.58     ScN     G014.2314-0.1758    
  14.33  -0.53   19.7       1.85    0.09    0.61     SgN     G014.3280-0.5328    
  14.38  -0.13   25.0      13.32    0.25    0.46     SgF     G014.3848-0.1308    
  14.47  -0.09   38.1       3.09    0.39    0.51     ScN     G014.4683-0.0857    
  14.49  -0.13   39.7       3.15    0.43    0.51     ScN     G014.4876-0.1274    
  14.69  -0.22   37.7       3.06    0.37    0.64     ScN     G014.6858-0.2234    
  14.73  -0.20   37.5       3.06    0.37    0.61     ScN     G014.7258-0.2031    
  15.01   0.01   24.6      13.32    0.26    0.37     SgF     G015.0060+0.0090    
  15.02  -0.62   19.7       1.85    0.09    0.68     SgN     G015.0201-0.6201    
  15.12  -0.56   19.6       1.85    0.09    0.68     SgN     G015.1239-0.5584    
  15.22  -0.43   22.7       1.87    0.11    0.62     SgN     G015.2169-0.4267    
