|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|     1 | G300.1627-0.0899 | 186.7858 | -62.8310 |   33 |   24 |  97 |   28 |   1.18 |   2.51 |  12.44 |
|     2 | G300.2169-0.1106 | 186.8997 | -62.8567 |   32 |   27 |  21 |   29 |   1.04 |   2.40 |  11.14 |
|     3 | G300.3228-0.1991 | 187.1137 | -62.9544 |   26 |   19 |  50 |   22 |   0.64 |   0.86 |   6.34 |
|     4 | G300.3405-0.2150 | 187.1493 | -62.9718 |   30 |   26 |  90 |   28 |   0.65 |   1.40 |   6.95 |
|     5 | G300.3797-0.2870 | 187.2216 | -63.0470 |   72 |   24 |  47 |   41 |   0.74 |   3.45 |   7.82 |
|     6 | G300.4033+0.5443 | 187.4279 | -62.2208 |   36 |   27 |  45 |   31 |   0.95 |   2.52 |   9.22 |
|     7 | G300.4553-0.1898 | 187.4059 | -62.9567 |   33 |   24 | 119 |   28 |   0.82 |   1.79 |   8.56 |
|     8 | G300.5038-0.1763 | 187.5147 | -62.9473 |   26 |   24 |  89 |   25 |   3.31 |   5.56 |  32.88 |
|    10 | G300.7486+0.0978 | 188.0960 | -62.6933 |   36 |   35 |  37 |   35 |   0.82 |   2.81 |   8.25 |
|    12 | G300.9097+0.8811 | 188.5602 | -61.9232 |   40 |   29 |  28 |   34 |   1.36 |   4.32 |  11.63 |
|    13 | G300.9176+0.8897 | 188.5783 | -61.9152 |   31 |   21 |  73 |   26 |   0.72 |   1.28 |   5.95 |
|    14 | G300.9194+0.9815 | 188.5949 | -61.8237 |   28 |   20 | 131 |   23 |   0.65 |   0.96 |   5.64 |
|    15 | G300.9197+0.9038 | 188.5847 | -61.9012 |   26 |   19 | 130 |   22 |   0.70 |   0.94 |   6.01 |
|    16 | G300.9420+0.9069 | 188.6323 | -61.8996 |   32 |   24 |  42 |   28 |   0.72 |   1.51 |   6.47 |
|    17 | G300.9506+0.8944 | 188.6487 | -61.9127 |   70 |   22 |  84 |   39 |   1.01 |   4.15 |   9.16 |
|    24 | G301.0797+0.9383 | 188.9281 | -61.8769 |   25 |   19 |  86 |   22 |   0.54 |   0.70 |   5.09 |
|    25 | G301.1164+0.9596 | 189.0085 | -61.8579 |   52 |   34 | -21 |   42 |   1.61 |   7.71 |  13.46 |
|    26 | G301.1169+0.9771 | 189.0118 | -61.8405 |   41 |   33 |  81 |   37 |   1.61 |   5.89 |  14.69 |
|    27 | G301.1229+0.9831 | 189.0253 | -61.8349 |   30 |   19 |  61 |   24 |   0.62 |   0.97 |   5.68 |
|    28 | G301.1292-0.2278 | 188.8801 | -63.0438 |   50 |   19 |  76 |   31 |   0.82 |   2.11 |   5.43 |
|    29 | G301.1365-0.2256 | 188.8965 | -63.0422 |   26 |   23 | 102 |   24 |  21.43 |  34.55 | 120.43 |
|    31 | G301.1438-0.2227 | 188.9130 | -63.0397 |   42 |   19 |  75 |   28 |   0.96 |   2.07 |   7.21 |
|    33 | G301.4738-0.2256 | 189.6398 | -63.0609 |   23 |   20 | 145 |   21 |   0.66 |   0.82 |   5.09 |
|    34 | G301.5913-0.2839 | 189.8928 | -63.1249 |   31 |   23 | 120 |   27 |   0.64 |   1.22 |   5.79 |
