|             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD |
| G000.0335+0.2051 | 266.2253 | -28.8006 |   53 |   38 |  42 |   45 | 0.59 |   3.2 |  8.59 |     0 |     0 |       0 |
| G000.0355+0.2241 | 266.2079 |  -28.789 |   42 |   30 | 111 |   35 | 0.52 |  1.77 |  7.78 |     0 |     0 |       0 |
| G000.0468-0.2200 | 266.6477 | -29.0107 |   31 |   21 | -23 |   25 | 0.51 |  0.87 |  7.67 |     0 |     0 |       0 |
| G000.0474+0.1124 | 266.3237 | -28.8371 |   47 |   28 |  22 |   37 |  0.8 |  2.88 | 11.21 |     0 |     0 |       0 |
| G000.0693+0.2127 | 266.2392 | -28.7661 |   40 |   28 | -20 |   33 | 0.51 |  1.53 |  6.91 |     0 |     0 |       0 |
| G000.0850+0.1642 | 266.2957 | -28.7781 |   36 |   21 | 107 |   27 | 0.59 |  1.19 |  8.35 |     0 |     0 |       0 |
| G000.0939-0.1096 | 266.5679 |  -28.913 |   34 |   25 |   3 |   29 | 0.64 |  1.49 |  8.26 |     0 |     0 |       0 |
| G000.0976-0.1305 | 266.5904 | -28.9207 |   59 |   28 |  37 |   41 | 0.73 |  3.31 |  8.98 |     0 |     0 |       0 |
| G000.1150-0.1399 |   266.61 | -28.9107 |   49 |   23 |  61 |   34 | 0.63 |  1.96 |  8.35 |     0 |     0 |       0 |
| G000.1213+0.1542 |  266.327 | -28.7523 |   34 |   27 |  37 |   30 | 0.53 |  1.32 |  7.97 |     0 |     0 |       0 |
| G000.1315-0.1299 |   266.61 | -28.8915 |   24 |   20 |  36 |   22 | 0.65 |  0.86 |  7.79 |     0 |     0 |       0 |
| G000.2018+0.0668 |   266.46 | -28.7291 |   39 |   25 |  65 |   31 | 0.69 |  1.81 |   9.3 |     0 |     0 |       0 |
| G000.2030-0.5239 | 267.0375 | -29.0344 |   26 |   26 |  28 |   26 | 0.52 |  0.95 |  7.55 |     0 |     0 |       0 |
| G000.2114-0.0264 | 266.5565 | -28.7694 |   34 |   29 |  48 |   31 | 1.28 |  3.42 | 13.86 |     0 |     0 |       0 |
| G000.2248+0.0731 | 266.4675 | -28.7062 |   37 |   21 | 151 |   28 | 0.55 |  1.15 |  7.55 |     0 |     0 |       0 |
| G000.2300+0.0154 | 266.5268 | -28.7318 |   24 |   19 |  49 |   21 |  0.8 |  0.98 |  9.52 |     0 |     0 |       0 |
| G000.2313-0.0070 | 266.5494 | -28.7423 |   21 |   19 | 120 |   20 |  0.7 |  0.77 |  7.52 |     0 |     0 |       0 |
| G000.2336+0.0101 | 266.5341 | -28.7315 |   26 |   19 |  64 |   22 | 0.64 |  0.86 |  7.05 |     0 |     0 |       0 |
| G000.2386+0.0090 | 266.5381 | -28.7278 |   55 |   44 |   4 |   49 | 4.22 | 27.76 | 46.32 |     0 |     0 |       0 |
| G000.2455+0.0134 | 266.5379 | -28.7196 |   26 |   20 |  31 |   23 | 1.16 |  1.62 | 13.21 |     0 |     0 |       0 |
| G000.2557+0.0269 | 266.5308 | -28.7038 |   27 |   20 |  80 |   24 | 1.52 |  2.29 | 17.83 |     0 |     0 |       0 |
| G000.2579+0.0182 | 266.5406 | -28.7065 |   97 |   36 | 126 |   59 | 4.64 | 44.54 | 53.61 |     0 |     0 |       0 |
| G000.2614-0.0526 | 266.6117 | -28.7403 |   31 |   19 | 101 |   24 | 0.63 |  0.99 |  6.71 |     0 |     0 |       0 |
| G000.2649+0.0356 | 266.5278 | -28.6915 |   46 |   34 | 140 |   40 | 3.49 | 14.86 | 39.99 |     0 |     0 |       0 |
| G000.2670-0.0845 | 266.6461 | -28.7521 |   34 |   27 |  20 |   30 | 0.51 |  1.27 |  6.71 |     0 |     0 |       0 |
| G000.2684+0.0293 |  266.536 | -28.6918 |   21 |   19 |  66 |   20 | 0.74 |   0.8 |  8.39 |     0 |     0 |       0 |
| G000.2836+0.0389 | 266.5357 | -28.6738 |   26 |   26 |  88 |   26 |  1.2 |   2.2 |  15.5 |     0 |     0 |       0 |
| G000.2960+0.0438 | 266.5382 | -28.6606 |   36 |   31 | 131 |   34 | 1.61 |  4.93 | 21.58 |     0 |     0 |       0 |
| G000.3069-0.1547 | 266.7382 | -28.7544 |   42 |   25 |  72 |   33 |  0.6 |  1.72 |  8.72 |     0 |     0 |       0 |
| G000.3149-0.0989 | 266.6884 | -28.7186 |   50 |   36 |  85 |   42 | 1.23 |  5.98 | 16.73 |     0 |     0 |       0 |
| G000.3173+0.0117 | 266.5822 | -28.6591 |   55 |   35 |  33 |   44 | 0.58 |  3.04 |  7.91 |     0 |     0 |       0 |
| G000.3279-0.1016 | 266.6988 |  -28.709 |   44 |   27 |  47 |   35 | 0.56 |  1.81 |  7.97 |     0 |     0 |       0 |
| G000.3322+0.0373 |  266.566 | -28.6331 |   23 |   21 | 144 |   22 | 0.82 |  1.08 | 11.44 |     0 |     0 |       0 |
| G000.3326+0.0603 | 266.5439 | -28.6208 |   55 |   21 |  90 |   34 |  0.9 |  2.81 | 12.55 |     0 |     0 |       0 |
| G000.3333+0.0498 | 266.5545 | -28.6256 |   22 |   19 |  65 |   21 | 0.64 |  0.76 |  8.67 |     0 |     0 |       0 |
| G000.3360-0.0790 | 266.6815 | -28.6902 |   25 |   19 |  61 |   22 | 0.58 |  0.75 |   8.3 |     0 |     0 |       0 |
| G000.3404+0.0562 | 266.5526 | -28.6162 |   45 |   30 | 132 |   37 | 2.28 |   8.4 | 29.99 |     0 |     0 |       0 |
| G000.3448-0.0780 | 266.6858 | -28.6822 |   31 |   31 | 110 |   31 | 0.64 |  1.63 |  8.91 |     0 |     0 |       0 |
| G000.3550-0.0884 |  266.702 |  -28.679 |   47 |   26 |  46 |   35 | 0.85 |  2.86 | 11.69 |     0 |     0 |       0 |
| G000.3659-0.0833 | 266.7034 | -28.6669 |   59 |   37 |  13 |   47 |  1.3 |  7.62 | 17.31 |     0 |     0 |       0 |
| G000.3806+0.0571 | 266.5754 | -28.5815 |   35 |   28 | 150 |   31 | 1.98 |  5.25 | 26.25 |     0 |     0 |       0 |
| G000.3929+0.0156 | 266.6231 | -28.5925 |   27 |   22 |  27 |   25 | 0.57 |  0.93 |  7.53 |     0 |     0 |       0 |
| G000.4005-0.0697 | 266.7106 | -28.6303 |   44 |   37 | 134 |   40 | 0.54 |  2.41 |  7.73 |     0 |     0 |       0 |
| G000.4098+0.0262 | 266.6228 | -28.5725 |   36 |   25 | 102 |   30 | 0.77 |  1.89 | 10.01 |     0 |     0 |       0 |
| G000.4159-0.5416 | 267.1804 | -28.8611 |   34 |   24 |  95 |   28 | 0.55 |  1.21 |  8.04 |     0 |     0 |       0 |
| G000.4193+0.0362 | 266.6187 | -28.5593 |   48 |   45 |  75 |   47 | 1.06 |  6.25 | 14.52 |     0 |     0 |       0 |
| G000.4372-0.0581 |  266.721 |  -28.593 |   64 |   26 |   5 |   41 | 0.61 |  2.79 |  8.11 |     0 |     0 |       0 |
| G000.4592-0.0300 | 266.7067 | -28.5595 |   22 |   19 | 100 |   21 | 0.55 |  0.63 |  7.54 |     0 |     0 |       0 |
| G000.4688+0.0253 | 266.6586 | -28.5226 |   49 |   28 | 107 |   37 | 1.02 |   3.8 | 13.12 |     0 |     0 |       0 |
| G000.4766-0.0068 | 266.6944 | -28.5327 |   49 |   34 |  97 |   41 | 7.29 | 32.72 | 81.38 |     0 |     0 |       0 |
| G000.4771+0.0041 | 266.6841 | -28.5266 |   33 |   32 | 153 |   32 | 1.91 |  5.47 | 22.07 |     0 |     0 |       0 |
| G000.4842-0.1103 | 266.7996 | -28.5797 |   38 |   29 |  92 |   33 | 0.79 |  2.35 | 11.86 |     0 |     0 |       0 |
| G000.4849+0.0068 |  266.686 | -28.5184 |   35 |   28 |  12 |   31 |  1.0 |  2.65 | 12.63 |     0 |     0 |       0 |
| G000.4869-0.0074 |  266.701 | -28.5241 |   44 |   26 | 100 |   34 | 1.51 |  4.77 | 17.69 |     0 |     0 |       0 |
| G000.4935+0.1723 | 266.5302 | -28.4251 |   36 |   28 | 136 |   32 | 0.82 |  2.26 | 11.74 |     0 |     0 |       0 |
| G000.4940-0.1144 | 266.8093 | -28.5735 |   31 |   27 | 113 |   29 | 0.67 |  1.55 |  9.84 |     0 |     0 |       0 |
| G000.4942+0.0194 | 266.6793 |  -28.504 |   57 |   29 | 129 |   41 | 3.25 | 14.57 | 41.25 |     0 |     0 |       0 |
| G000.4997+0.0178 | 266.6841 | -28.5001 |   22 |   19 |  25 |   21 |  0.6 |  0.69 |  7.49 |     0 |     0 |       0 |
| G000.5041+0.1404 | 266.5674 | -28.4326 |   35 |   20 |  67 |   26 | 0.55 |  1.04 |  8.67 |     0 |     0 |       0 |
| G000.5117+0.0062 | 266.7024 | -28.4959 |   26 |   19 |  36 |   22 | 0.55 |  0.73 |  7.12 |     0 |     0 |       0 |
| G000.5136+0.1252 | 266.5879 | -28.4324 |   36 |   23 |  46 |   29 | 0.56 |  1.25 |   8.7 |     0 |     0 |       0 |
| G000.5151-0.1057 | 266.8133 |  -28.551 |   32 |   21 |  80 |   26 | 0.55 |   1.0 |  7.48 |     0 |     0 |       0 |
| G000.5184-0.6127 | 267.3102 | -28.8099 |   22 |   19 |  68 |   21 | 0.51 |  0.59 |  6.91 |     0 |     0 |       0 |
| G000.5266+0.1942 | 266.5286 | -28.3855 |   33 |   19 |  92 |   25 | 0.61 |  1.05 |  8.72 |     0 |     0 |       0 |
| G000.5266-0.6508 | 267.3523 | -28.8225 |   26 |   19 | -14 |   22 | 0.54 |  0.72 |  7.58 |     0 |     0 |       0 |
| G000.5351-0.6329 | 267.3397 |  -28.806 |   28 |   23 | -16 |   26 | 0.54 |  0.96 |  7.87 |     0 |     0 |       0 |
| G000.5549-0.0205 | 266.7538 | -28.4728 |   22 |   20 |  68 |   21 |  0.9 |  1.08 |  11.3 |     0 |     0 |       0 |
| G000.5568-0.0289 | 266.7632 | -28.4755 |   41 |   25 | 102 |   32 | 1.46 |  4.04 | 16.49 |     0 |     0 |       0 |
| G000.5580+0.0365 | 266.7003 | -28.4405 |   50 |   27 |  66 |   37 | 0.71 |  2.55 |  9.22 |     0 |     0 |       0 |
| G000.5652+0.0229 | 266.7177 | -28.4415 |   74 |   32 |  81 |   49 |  1.1 |  7.22 | 14.01 |     0 |     0 |       0 |
| G000.5688-0.0236 | 266.7651 | -28.4625 |   48 |   20 |  76 |   31 | 0.95 |  2.43 | 10.11 |     0 |     0 |       0 |
| G000.5874-0.0189 | 266.7715 | -28.4441 |   27 |   19 |  79 |   23 |  0.9 |  1.25 |  10.0 |     0 |     0 |       0 |
| G000.6033+0.0025 | 266.7601 | -28.4194 |   24 |   21 |  37 |   23 | 1.79 |  2.46 | 17.82 |     0 |     0 |       0 |
| G000.6099-0.0592 |  266.824 | -28.4458 |   40 |   19 | 109 |   28 | 0.64 |  1.33 |  5.86 |     0 |     0 |       0 |
| G000.6147-0.0830 | 266.8499 |  -28.454 |   38 |   31 |  22 |   34 | 1.29 |  4.11 |  14.1 |     0 |     0 |       0 |
| G000.6152-0.0677 | 266.8354 | -28.4456 |   41 |   21 | 121 |   29 | 0.65 |  1.52 |  5.78 |     0 |     0 |       0 |
| G000.6183+0.0113 | 266.7603 | -28.4021 |   27 |   19 | 110 |   23 | 0.74 |  1.03 |  8.37 |     0 |     0 |       0 |
| G000.6195-0.1022 | 266.8714 | -28.4598 |   24 |   19 |  84 |   22 | 0.65 |  0.82 |  6.82 |     0 |     0 |       0 |
| G000.6226-0.0875 |  266.859 | -28.4496 |   23 |   19 |  36 |   21 | 0.64 |  0.75 |  6.33 |     0 |     0 |       0 |
| G000.6255-0.0956 | 266.8686 | -28.4514 |   38 |   25 | 102 |   31 | 2.75 |  7.01 |  29.5 |     0 |     0 |       0 |
| G000.6463+0.0445 | 266.7446 | -28.3609 |   34 |   34 |  82 |   34 | 0.85 |  2.69 |  9.87 |     0 |     0 |       0 |
| G000.6494+0.0693 | 266.7223 | -28.3454 |   37 |   26 |  54 |   31 | 0.55 |  1.46 |  7.21 |     0 |     0 |       0 |
| G000.6556-0.0312 | 266.8237 | -28.3923 |   23 |   19 | 133 |   21 | 5.32 |  6.26 | 13.45 |     0 |     0 |       0 |
| G000.6658-0.1127 | 266.9089 | -28.4256 |   50 |   24 | 148 |   35 |  0.7 |  2.33 |  9.03 |     0 |     0 |       0 |
| G000.6725-0.1843 | 266.9826 |  -28.457 |   39 |   23 |  68 |   30 | 0.51 |  1.22 |  7.34 |     0 |     0 |       0 |
| G000.6732+0.0251 | 266.7793 |  -28.348 |   32 |   19 |  73 |   25 | 1.03 |  1.75 | 10.52 |     0 |     0 |       0 |
| G000.6774-0.1385 | 266.9409 | -28.4291 |   41 |   27 | 129 |   33 |  0.9 |  2.71 | 12.59 |     0 |     0 |       0 |
| G000.6835-0.0909 | 266.8982 | -28.3992 |   30 |   23 | 128 |   26 | 0.56 |  1.04 |  6.83 |     0 |     0 |       0 |
| G000.6840-0.1259 | 266.9325 |  -28.417 |   42 |   37 |  76 |   39 | 1.11 |  4.58 | 14.86 |     0 |     0 |       0 |
| G000.6949-0.0181 | 266.8341 | -28.3518 |   30 |   19 |  90 |   24 | 1.77 |  2.72 |  11.7 |     0 |     0 |       0 |
