|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD | nSF |
|  5581 | G000.0009-0.0592 | 266.4634 | -28.9663 |   54 |   22 | 152 |   34 | 1.08 |  3.42 |  10.4 |     0 |     0 |       0 |   0 |
|  5588 | G000.0105-0.0533 | 266.4633 |  -28.955 |   30 |   21 | 100 |   25 | 0.97 |  1.66 |  9.66 |     0 |     0 |       0 |   0 |
|  5592 | G000.0173+0.0044 | 266.4111 | -28.9191 |   39 |   23 |  22 |   30 | 0.67 |   1.6 |  6.98 |     0 |     0 |       0 |   0 |
|  5594 | G000.0201-0.0059 | 266.4229 | -28.9221 |   46 |   26 | 115 |   35 | 1.75 |  5.81 |  19.1 |     0 |     0 |       0 |   0 |
|  5599 | G000.0335+0.2051 | 266.2253 | -28.8006 |   53 |   38 |  42 |   45 | 0.59 |   3.2 |  8.59 |     0 |     0 |       0 |   0 |
|  5600 | G000.0355+0.2241 | 266.2079 |  -28.789 |   42 |   30 | 111 |   35 | 0.52 |  1.77 |  7.78 |     0 |     0 |       0 |   0 |
|  5605 | G000.0444+0.0292 | 266.4031 | -28.8831 |   35 |   27 |  -3 |   31 | 1.13 |  2.87 | 14.41 |     0 |     0 |       0 |   0 |
|  5606 | G000.0468-0.2200 | 266.6477 | -29.0107 |   31 |   21 | -23 |   25 | 0.51 |  0.87 |  7.67 |     0 |     0 |       0 |   0 |
|  5607 | G000.0474+0.1124 | 266.3237 | -28.8371 |   47 |   28 |  22 |   37 |  0.8 |  2.88 | 11.21 |     0 |     0 |       0 |   0 |
|  5608 | G000.0498-0.0781 |  266.511 | -28.9343 |   24 |   19 |  76 |   21 | 0.69 |  0.87 |  8.63 |     0 |     0 |       0 |   0 |
|  5617 | G000.0620-0.0682 | 266.5085 | -28.9187 |   26 |   19 | 125 |   22 | 0.87 |  1.17 |  9.19 |     0 |     0 |       0 |   0 |
|  5620 | G000.0693+0.2127 | 266.2392 | -28.7661 |   40 |   28 | -20 |   33 | 0.51 |  1.53 |  6.91 |     0 |     0 |       0 |   0 |
|  5625 | G000.0758-0.0021 | 266.4522 | -28.8726 |   35 |   19 |  86 |   26 | 0.57 |  1.02 |  7.23 |     0 |     0 |       0 |   0 |
|  5627 | G000.0779-0.0837 | 266.5331 | -28.9133 |   37 |   20 |  32 |   27 | 0.75 |  1.54 |  8.77 |     0 |     0 |       0 |   0 |
|  5629 | G000.0833-0.0096 | 266.4641 |   -28.87 |   35 |   27 |  22 |   31 | 1.23 |  3.11 | 15.67 |     0 |     0 |       0 |   0 |
|  5631 | G000.0850+0.1642 | 266.2957 | -28.7781 |   36 |   21 | 107 |   27 | 0.59 |  1.19 |  8.35 |     0 |     0 |       0 |   0 |
|  5633 | G000.0881+0.0547 | 266.4043 | -28.8325 |   59 |   31 |  14 |   43 | 0.64 |  3.14 |  9.06 |     0 |     0 |       0 |   0 |
|  5637 | G000.0939-0.1096 | 266.5679 |  -28.913 |   34 |   25 |   3 |   29 | 0.64 |  1.49 |  8.26 |     0 |     0 |       0 |   0 |
|  5640 | G000.0961-0.0800 | 266.5403 | -28.8958 |   41 |   23 |  94 |   31 | 0.93 |  2.35 | 11.04 |     0 |     0 |       0 |   0 |
|  5641 | G000.0971-0.0045 | 266.4672 | -28.8556 |   42 |   34 | -16 |   38 | 1.67 |   6.4 | 21.62 |     0 |     0 |       0 |   0 |
|  5643 | G000.0976-0.1305 | 266.5904 | -28.9207 |   59 |   28 |  37 |   41 | 0.73 |  3.31 |  8.98 |     0 |     0 |       0 |   0 |
|  5648 | G000.1073-0.0635 | 266.5309 | -28.8776 |   33 |   33 |  -2 |   33 | 1.01 |  3.04 | 11.44 |     0 |     0 |       0 |   0 |
|  5649 | G000.1097+0.0020 | 266.4684 | -28.8415 |   33 |   33 |  94 |   33 | 2.51 |  7.29 | 32.36 |     0 |     0 |       0 |   0 |
|  5655 | G000.1150-0.1399 |   266.61 | -28.9107 |   49 |   23 |  61 |   34 | 0.63 |  1.96 |  8.35 |     0 |     0 |       0 |   0 |
|  5657 | G000.1162-0.0198 | 266.4934 | -28.8473 |   31 |   20 |  70 |   25 | 1.15 |  1.92 | 14.52 |     0 |     0 |       0 |   0 |
|  5659 | G000.1185-0.1116 | 266.5844 |  -28.893 |   29 |   20 | 103 |   24 |  0.8 |  1.27 |  10.8 |     0 |     0 |       0 |   0 |
|  5664 | G000.1213+0.1542 |  266.327 | -28.7523 |   34 |   27 |  37 |   30 | 0.53 |  1.32 |  7.97 |     0 |     0 |       0 |   0 |
|  5668 | G000.1260-0.0736 | 266.5518 | -28.8669 |   42 |   32 |  96 |   36 | 0.81 |  2.92 | 10.74 |     0 |     0 |       0 |   0 |
|  5670 | G000.1293+0.0227 | 266.4599 | -28.8139 |   47 |   22 | 104 |   32 | 0.78 |  2.16 |  10.6 |     0 |     0 |       0 |   0 |
|  5673 | G000.1315-0.1299 |   266.61 | -28.8915 |   24 |   20 |  36 |   22 | 0.65 |  0.86 |  7.79 |     0 |     0 |       0 |   0 |
|  5680 | G000.1409+0.0054 | 266.4837 | -28.8131 |   38 |   22 | -24 |   29 | 0.83 |  1.89 | 10.59 |     0 |     0 |       0 |   0 |
|  5687 | G000.1620+0.0786 | 266.4248 |  -28.757 |   39 |   29 |  85 |   34 | 0.99 |  3.02 | 13.56 |     0 |     0 |       0 |   0 |
|  5688 | G000.1622+0.0656 | 266.4377 | -28.7636 |   29 |   23 |  90 |   26 | 0.85 |  1.54 | 11.71 |     0 |     0 |       0 |   0 |
|  5699 | G000.1811+0.0243 | 266.4891 | -28.7689 |   36 |   28 |  42 |   32 | 0.51 |  1.37 |  6.31 |     0 |     0 |       0 |   0 |
|  5701 | G000.1866+0.0816 | 266.4365 | -28.7344 |   36 |   26 |  53 |   30 | 0.91 |  2.27 | 12.31 |     0 |     0 |       0 |   0 |
|  5702 | G000.1901+0.0160 | 266.5025 | -28.7655 |   46 |   22 |  70 |   32 | 0.52 |  1.42 |  6.35 |     0 |     0 |       0 |   0 |
|  5707 | G000.2018+0.0668 |   266.46 | -28.7291 |   39 |   25 |  65 |   31 | 0.69 |  1.81 |   9.3 |     0 |     0 |       0 |   0 |
|  5708 | G000.2030-0.5239 | 267.0375 | -29.0344 |   26 |   26 |  28 |   26 | 0.52 |  0.95 |  7.55 |     0 |     0 |       0 |   0 |
|  5711 | G000.2050-0.0409 | 266.5668 | -28.7824 |   40 |   36 |  59 |   38 | 1.08 |  4.16 | 11.09 |     0 |     0 |       0 |   0 |
|  5712 | G000.2051+0.0394 | 266.4886 | -28.7405 |   23 |   19 |  95 |   21 | 0.56 |  0.66 |  7.13 |     0 |     0 |       0 |   0 |
|  5716 | G000.2114-0.0264 | 266.5565 | -28.7694 |   34 |   29 |  48 |   31 | 1.28 |  3.42 | 13.86 |     0 |     0 |       0 |   0 |
|  5720 | G000.2171-0.0486 | 266.5815 | -28.7761 |   35 |   33 |  96 |   34 | 1.01 |  3.11 | 11.67 |     0 |     0 |       0 |   0 |
|  5723 | G000.2248+0.0731 | 266.4675 | -28.7062 |   37 |   21 | 151 |   28 | 0.55 |  1.15 |  7.55 |     0 |     0 |       0 |   0 |
|  5726 | G000.2300+0.0154 | 266.5268 | -28.7318 |   24 |   19 |  49 |   21 |  0.8 |  0.98 |  9.52 |     0 |     0 |       0 |   0 |
|  5729 | G000.2313-0.0070 | 266.5494 | -28.7423 |   21 |   19 | 120 |   20 |  0.7 |  0.77 |  7.52 |     0 |     0 |       0 |   0 |
|  5731 | G000.2336+0.0101 | 266.5341 | -28.7315 |   26 |   19 |  64 |   22 | 0.64 |  0.86 |  7.05 |     0 |     0 |       0 |   0 |
|  5735 | G000.2386+0.0090 | 266.5381 | -28.7278 |   55 |   44 |   4 |   49 | 4.22 | 27.76 | 46.32 |     0 |     0 |       0 |   0 |
|  5736 | G000.2414-0.0422 | 266.5897 | -28.7521 |   31 |   19 |  84 |   24 | 0.56 |   0.9 |  6.78 |     0 |     0 |       0 |   0 |
|  5739 | G000.2455+0.0134 | 266.5379 | -28.7196 |   26 |   20 |  31 |   23 | 1.16 |  1.62 | 13.21 |     0 |     0 |       0 |   0 |
|  5741 | G000.2496-0.0454 | 266.5976 | -28.7466 |   46 |   32 |  51 |   38 | 0.81 |  3.22 |  9.32 |     0 |     0 |       0 |   0 |
|  5743 | G000.2557+0.0269 | 266.5308 | -28.7038 |   27 |   20 |  80 |   24 | 1.52 |  2.29 | 17.83 |     0 |     0 |       0 |   0 |
|  5745 | G000.2579+0.0182 | 266.5406 | -28.7065 |   97 |   36 | 126 |   59 | 4.64 | 44.54 | 53.61 |     0 |     0 |       0 |   0 |
|  5747 | G000.2614-0.0526 | 266.6117 | -28.7403 |   31 |   19 | 101 |   24 | 0.63 |  0.99 |  6.71 |     0 |     0 |       0 |   0 |
|  5748 | G000.2649+0.0356 | 266.5278 | -28.6915 |   46 |   34 | 140 |   40 | 3.49 | 14.86 | 39.99 |     0 |     0 |       0 |   0 |
|  5749 | G000.2670-0.0845 | 266.6461 | -28.7521 |   34 |   27 |  20 |   30 | 0.51 |  1.27 |  6.71 |     0 |     0 |       0 |   0 |
|  5750 | G000.2684+0.0293 |  266.536 | -28.6918 |   21 |   19 |  66 |   20 | 0.74 |   0.8 |  8.39 |     0 |     0 |       0 |   0 |
|  5751 | G000.2727-0.0636 |  266.629 | -28.7363 |   56 |   44 |  12 |   50 | 1.23 |  8.23 | 14.92 |     0 |     0 |       0 |   0 |
|  5756 | G000.2812-0.0575 | 266.6281 |  -28.726 |   38 |   19 |  17 |   27 | 0.55 |   1.1 |  6.86 |     0 |     0 |       0 |   0 |
|  5757 | G000.2836+0.0389 | 266.5357 | -28.6738 |   26 |   26 |  88 |   26 |  1.2 |   2.2 |  15.5 |     0 |     0 |       0 |   0 |
|  5759 | G000.2888-0.0188 | 266.5949 | -28.6994 |   40 |   20 |  79 |   28 | 0.64 |  1.42 |  8.34 |     0 |     0 |       0 |   0 |
|  5761 | G000.2960+0.0438 | 266.5382 | -28.6606 |   36 |   31 | 131 |   34 | 1.61 |  4.93 | 21.58 |     0 |     0 |       0 |   0 |
|  5765 | G000.3069-0.1547 | 266.7382 | -28.7544 |   42 |   25 |  72 |   33 |  0.6 |  1.72 |  8.72 |     0 |     0 |       0 |   0 |
|  5767 | G000.3149-0.0989 | 266.6884 | -28.7186 |   50 |   36 |  85 |   42 | 1.23 |  5.98 | 16.73 |     0 |     0 |       0 |   0 |
|  5771 | G000.3173+0.0117 | 266.5822 | -28.6591 |   55 |   35 |  33 |   44 | 0.58 |  3.04 |  7.91 |     0 |     0 |       0 |   0 |
|  5772 | G000.3182-0.0737 | 266.6658 | -28.7027 |   40 |   29 |  36 |   34 |  0.8 |  2.56 | 11.53 |     0 |     0 |       0 |   0 |
|  5777 | G000.3265-0.0088 | 266.6076 | -28.6619 |   40 |   40 |  35 |   40 |  0.9 |  3.93 | 12.47 |     0 |     0 |       0 |   0 |
|  5779 | G000.3279-0.1016 | 266.6988 |  -28.709 |   44 |   27 |  47 |   35 | 0.56 |  1.81 |  7.97 |     0 |     0 |       0 |   0 |
|  5783 | G000.3322+0.0373 |  266.566 | -28.6331 |   23 |   21 | 144 |   22 | 0.82 |  1.08 | 11.44 |     0 |     0 |       0 |   0 |
|  5784 | G000.3326+0.0603 | 266.5439 | -28.6208 |   55 |   21 |  90 |   34 |  0.9 |  2.81 | 12.55 |     0 |     0 |       0 |   0 |
|  5785 | G000.3333+0.0498 | 266.5545 | -28.6256 |   22 |   19 |  65 |   21 | 0.64 |  0.76 |  8.67 |     0 |     0 |       0 |   0 |
|  5787 | G000.3360-0.0790 | 266.6815 | -28.6902 |   25 |   19 |  61 |   22 | 0.58 |  0.75 |   8.3 |     0 |     0 |       0 |   0 |
|  5791 | G000.3404+0.0562 | 266.5526 | -28.6162 |   45 |   30 | 132 |   37 | 2.28 |   8.4 | 29.99 |     0 |     0 |       0 |   0 |
