|            Name|       raStr|      decStr| amaj| amin|  pa_new| FWHM|    vlsr|  Dist_B| sigma_D|        Ref|Dark70|
|            char|        char|        char| long| long|  double| long|  double|  double|  double|       char|  char|
|                |            |            |     |     |        |     |        |        |        |           |      |
|            null|        null|        null| null| null|    null| null|    null|    null|    null|       null|  null|
 G000.0335+0.2051 17h44m54.07s -28d48m02.2s    53    38     73.5    45     null     null     null        null      N 
 G000.0355+0.2241 17h44m49.90s -28d47m20.4s    42    30    142.5    35     null     null     null        null      N 
 G000.0474+0.1124 17h45m17.69s -28d50m13.6s    47    28     53.4    37     null     null     null        null      N 
 G000.0693+0.2127 17h44m57.41s -28d45m58.0s    40    28     11.5    33     null     null     null        null      N 
 G000.0939-0.1096 17h46m16.30s -28d54m46.8s    34    25     34.3    29     null     null     null        null      N 
 G000.1150-0.1399 17h46m26.40s -28d54m38.5s    49    23     92.3    34     null     null     null        null      Y 
 G000.1315-0.1299 17h46m26.40s -28d53m29.4s    24    20     67.3    22     null     null     null        null      N 
 G000.2248+0.0731 17h45m52.20s -28d42m22.3s    37    21      2.4    28     null     null     null        null      N 
 G000.2386+0.0090 17h46m09.14s -28d43m40.1s    55    44     35.3    49    44.44    10.86     0.25      malt90      Y 
 G000.2579+0.0182 17h46m09.74s -28d42m23.4s    97    36    157.3    59    41.05     7.96     2.18      malt90      Y 
 G000.2649+0.0356 17h46m06.67s -28d41m29.4s    46    34    171.3    40    28.45    14.49     0.28      malt90      Y 
 G000.2670-0.0845 17h46m35.06s -28d45m07.6s    34    27     51.3    30     null     null     null        null      Y 
 G000.2727-0.0636 17h46m30.96s -28d44m10.7s    56    44     43.3    50     null     null     null        null      N 
 G000.2836+0.0389 17h46m08.57s -28d40m25.7s    26    26    119.3    26     null     null     null        null      Y 
 G000.2960+0.0438 17h46m09.17s -28d39m38.2s    36    31    162.3    34    17.39    14.49     0.28      malt90      Y 
 G000.3069-0.1547 17h46m57.17s -28d45m15.8s    42    25    103.2    33    19.70    13.63     0.24 Csengeri+14      Y 
 G000.3149-0.0989 17h46m45.22s -28d43m07.0s    50    36    116.3    42    96.23    13.30    11.10      malt90      N 
 G000.3173+0.0117 17h46m19.73s -28d39m32.8s    55    35     64.3    44     null     null     null        null      N 
 G000.3322+0.0373 17h46m15.84s -28d37m59.2s    23    21    175.3    22     null     null     null        null      Y 
 G000.3404+0.0562 17h46m12.62s -28d36m58.3s    45    30    163.3    37     null     null     null        null      Y 
 G000.3550-0.0884 17h46m48.48s -28d40m44.4s    47    26     77.3    35     null     null     null        null      N 
 G000.3659-0.0833 17h46m48.82s -28d40m00.8s    59    37     44.3    47     null     null     null        null      N 
