  Name                  nYSOs
  G300.1627-0.0899      0 
  G300.2169-0.1106      2 
  G300.3228-0.1991      1 
  G300.3405-0.2150      0 
  G300.3797-0.2870      7 
  G300.4033+0.5443      0 
  G300.4553-0.1898      2 
  G300.5038-0.1763      0 
  G300.7486+0.0978      1 
  G300.9097+0.8811      4 
  G300.9176+0.8897      2 
  G300.9194+0.9815      0 
  G300.9197+0.9038      1 
  G300.9420+0.9069      0 
  G300.9506+0.8944      3 
  G301.0797+0.9383      2 
  G301.1164+0.9596      1 
  G301.1169+0.9771      0 
  G301.1229+0.9831      0 
  G301.1292-0.2278      1 
  G301.1365-0.2256      0 
  G301.1438-0.2227      1 
  G301.4738-0.2256      1 
  G301.5913-0.2839      2 
  G301.6373-0.2373      3 
  G301.6798+0.2456      1 
  G301.8138+0.7811      0 
  G302.0208+0.2517      0 
  G302.0318-0.0607      0 
  G302.0327+0.6254      2 
  G302.1487-0.9494      0 
  G302.3912+0.2804      0 
  G302.4388-0.1189      0 
  G302.4537-0.7405      1 
  G302.4861-0.0310      0 
  G302.4904-0.7656      2 
  G302.6689-0.6770      0 
  G303.1169-0.9724      0 
  G303.4832-0.4608      0 
  G303.5358-0.5973      0 
  G303.9311-0.6883      3 
  G303.9395-0.6891      3 
  G303.9978+0.2804      0 
  G304.0209+0.2919      3 
  G304.0776+0.4045      1 
  G304.0877+0.4223      1 
  G304.2460-0.4058      0 
  G304.3675-0.3358      0 
  G304.4671-0.0044      0 
  G304.5560+0.3277      0 
  G304.5852+0.5819      0 
  G304.5990+0.3511      0 
  G304.6651-0.9661      1 
  G304.6733+0.2571      1 
  G304.7902-0.8722      1 
  G304.7965+0.5801      0 
  G304.8864+0.6356      7 
  G304.9200+0.5446      0 
  G304.9213+0.5230      2 
  G304.9327+0.5466      0 
  G305.0943+0.2510      0 
  G305.0955+0.0877      0 
  G305.1293-0.0271      0 
  G305.1367+0.0687      1 
  G305.1437+0.2076      0 
  G305.1543+0.0477      0 
  G305.1721+0.0079      0 
  G305.1898+0.0419      0 
  G305.1911+0.0109      0 
  G305.1935-0.0059      1 
  G305.1955+0.0341      0 
  G305.1978+0.0070      0 
  G305.1996+0.0194      0 
  G305.1997+0.2067      0 
  G305.2007+0.2286      0 
  G305.2083+0.2063      0 
  G305.2145+0.2014      0 
  G305.2267-0.0262      0 
  G305.2272+0.2746      2 
  G305.2276+0.2861      0 
  G305.2344-0.0342      0 
  G305.2350-0.0231      0 
  G305.2351+0.2609      0 
  G305.2369+0.2846      0 
  G305.2423-0.0290      0 
  G305.2424+0.2763      0 
  G305.2431-0.0421      1 
  G305.2456+0.2460      0 
  G305.2501-0.0273      0 
  G305.2525+0.0799      1 
  G305.2581+0.3275      0 
  G305.2608+0.3083      0 
  G305.2632-0.0168      0 
  G305.2703-0.0090      0 
  G305.2711+0.2447      0 
  G305.2719-0.0309      0 
  G305.2725+0.2959      0 
  G305.2729-0.0179      0 
  G305.3072-0.0391      1 
  G305.3137+0.0726      0 
  G305.3187+0.3130      0 
  G305.3209+0.0706      0 
  G305.3492+0.2039      0 
  G305.3566+0.1941      0 
  G305.3570+0.2033      0 
  G305.3606+0.2165      0 
  G305.3606+0.1589      0 
  G305.3610+0.1864      0 
  G305.3617+0.1514      0 
  G305.3666+0.2130      0 
  G305.3683+0.1655      1 
  G305.3743+0.2614      1 
  G305.3834+0.2565      0 
  G305.3836-0.2340      1 
  G305.3921+0.2655      0 
  G305.4126+0.2061      0 
  G305.4252+0.2385      1 
  G305.4289+0.2526      2 
  G305.4417-0.2347      0 
  G305.4755-0.0958      0 
  G305.4834-0.1029      4 
  G305.5048+0.3582      1 
  G305.5114+0.3509      0 
  G305.5126+0.3339      0 
  G305.5175+0.7631      2 
  G305.5215-0.0176      0 
  G305.5226-0.0330      0 
  G305.5339+0.9425      3 
  G305.5361-0.0195      0 
  G305.5385+0.3395      0 
  G305.5457-0.0148      0 
  G305.5476-0.0559      0 
  G305.5494+0.0057      0 
  G305.5531-0.0111      0 
  G305.5538+0.0161      0 
  G305.5608+0.0226      0 
  G305.5628+0.0137      0 
  G305.5753-0.3413      0 
  G305.5753-0.2259      0 
  G305.5812+0.0377      0 
  G305.5890+0.4609      0 
  G305.6033-0.6894      1 
  G305.6066+0.0164      0 
  G305.6151-0.3443      0 
  G305.6308+0.5045      0 
  G305.6684-0.1058      2 
  G305.7046+0.0321      2 
  G305.7764-0.2489      0 
  G305.7949-0.0965      1 
  G305.7994-0.2445      1 
  G305.8215-0.1142      0 
  G305.8309-0.1940      1 
  G305.8826-0.2485      1 
  G305.8874+0.0164      1 
  G305.8941+0.0116      0 
  G305.9239+0.0328      2 
  G305.9414-0.1635      0 
  G306.0558-0.0430      2 
  G306.1165+0.1398      0 
  G306.1349+0.1333      1 
  G306.2808-0.1801      6 
  G306.3199-0.3328      1 
  G306.3430-0.3011      0 
  G306.3434-0.3249      0 
  G307.3779-0.9443      1 
  G307.5610-0.5873      0 
  G307.6023-0.6297      2 
  G307.6099-0.2937      0 
  G307.6161-0.2591      1 
  G307.6252-0.2633      0 
  G307.6281-0.3145      0 
  G307.6297-0.2726      1 
  G307.6327-0.2641      2 
  G307.7353-0.5955      1 
  G307.7558+0.3534      0 
  G307.8055-0.4560      2 
  G307.9574+0.0160      0 
  G308.0573-0.3969      1 
  G308.0753-0.4115      0 
  G308.0758-0.4226      1 
  G308.0801-0.4666      1 
  G308.0930-0.4146      0 
  G308.1294-0.2992      1 
  G308.3987-0.1759      2 
  G308.6458+0.6475      1 
  G308.6519-0.5082      1 
  G308.6720+0.5392      0 
  G308.6894+0.5269      5 
  G308.7354+0.7780      1 
  G308.7443+0.5324      0 
  G308.7553+0.5484      0 
  G308.7917+0.1697      2 
  G308.9083+0.1148      0 
  G308.9180+0.1220      0 
  G309.0674-0.2437      1 
  G309.1159+0.1373      2 
  G309.1173-0.2042      0 
  G309.1531-0.3517      1 
  G309.1693-0.3455      1 
  G309.1721-0.3274      1 
  G309.1788-0.0312      0 
  G309.2205-0.4633      0 
  G309.2263-0.4557      1 
  G309.2355-0.4570      1 
  G309.2694-0.5543      1 
  G309.2696-0.5198      0 
  G309.3097-0.4842      0 
  G309.3365-0.6442      1 
  G309.3754-0.1322      0 
  G309.3826-0.1332      0 
  G309.3936-0.4116      1 
  G309.4216-0.6216      8 
  G309.5349-0.7409      3 
  G309.5419-0.7466      1 
  G309.8792+0.3941      0 
  G309.8899+0.3971      0 
  G309.9005+0.2306      1 
  G309.9113+0.3239      3 
  G309.9142+0.3124      1 
  G309.9162+0.4925      0 
  G309.9212+0.4779      0 
  G309.9336+0.3968      0 
  G309.9691+0.2997      5 
  G309.9806+0.5462      1 
  G309.9905+0.5079      7 
  G310.0135+0.3877      0 
  G310.0774-0.2288      1 
  G310.0894-0.2837      0 
  G310.1440+0.7592      0 
  G310.1462+0.7770      1 
  G310.1769-0.1155      3 
  G310.1808-0.1232      0 
  G310.3752-0.3049      1 
  G310.5143-0.2169      0 
  G310.5985+0.7244      1 
  G310.6447-0.4290      2 
  G310.6754-0.2336      3 
  G310.7540-0.5896      0 
  G310.8798+0.0046      0 
  G310.8884+0.0051      0 
  G310.9034-0.3808      0 
  G311.0345+0.3792      2 
  G311.0422+0.0724      1 
  G311.0440+0.6880      3 
  G311.1770-0.4014      0 
  G311.1772-0.0723      0 
  G311.2023+0.7226      0 
  G311.2293-0.0317      1 
  G311.3123-0.4872      1 
  G311.3860+0.6491      0 
  G311.4243+0.5963      0 
  G311.4254+0.3675      1 
  G311.4492+0.3790      1 
  G311.4659+0.3724      0 
  G311.4806+0.3612      0 
  G311.4903+0.4192      0 
  G311.4921+0.4034      1 
  G311.5119-0.4542      2 
  G311.5559+0.3308      1 
  G311.5638+0.2298      1 
  G311.5684+0.3190      3 
  G311.5926-0.4924      0 
  G311.6234+0.2979      0 
  G311.6261+0.2901      0 
  G311.6279+0.2654      2 
  G311.6378+0.2981      2 
  G311.6420-0.3802      1 
  G311.7549+0.0816      2 
  G311.7922-0.0173      1 
  G311.8919-0.2576      0 
  G311.8993+0.0838      0 
  G311.9244+0.2237      0 
  G311.9303+0.2070      0 
  G311.9343+0.2279      0 
  G311.9471+0.1417      1 
  G311.9792-0.9536      1 
  G312.0402+0.0825      0 
  G312.0703+0.0806      0 
  G312.0767+0.0650      0 
  G312.0913+0.0746      0 
  G312.0954+0.2777      1 
  G312.0989-0.2376      3 
  G312.1068+0.3085      0 
  G312.1091+0.2622      2 
  G312.1127+0.2758      2 
  G312.3060+0.6608      1 
  G312.3296-0.0875      1 
  G312.3824-0.4161      0 
  G312.4745-0.0562      2 
  G312.5377+0.0411      1 
  G312.5455-0.2809      0 
  G312.5882-0.5026      0 
  G312.5974+0.0444      0 
  G312.6830+0.0211      1 
  G313.0510-0.6873      1 
  G313.1308-0.6545      1 
  G313.2764-0.7113      3 
  G313.2888-0.3338      0 
  G313.3146-0.4626      0 
  G313.4577+0.1916      0 
  G313.4684+0.1902      1 
